user_id,days,TotalCount
1192641 ,4087,9383
1917731 ,4080,2998027
2069071 ,4078,1355
5379272 ,4050,12018
5695632 ,4040,6460409
7078452 ,3984,5720
7214092 ,3978,25341
7276862 ,3975,5385
8526602 ,3919,7488
8725112 ,3911,75695
9216842 ,3885,1245
11447982 ,3804,97288
12004852 ,3787,64896
13453872 ,3751,1415
13850422 ,3742,2612520
13941892 ,3740,5257
14111373 ,3726,101094
14156219 ,3720,14759
14196618 ,3714,10104
14276218 ,3704,10090
14364337 ,3694,45232
14391953 ,3690,13156
14437569 ,3687,51362
14642026 ,3671,23644
15038159 ,3637,3638
15158448 ,3626,1085
15159600 ,3626,35245
15222499 ,3620,18690
15224977 ,3619,4098
15269108 ,3615,2131
15418054 ,3601,54283
15430313 ,3600,66782
15501305 ,3594,480479
15514798 ,3593,643
15765683 ,3576,36639
15878631 ,3566,17918
15947342 ,3561,20840
15999667 ,3557,23058
16082911 ,3551,37166
16113629 ,3549,9960
16131215 ,3548,74597
16177626 ,3544,80957
16190532 ,3544,11877
16240608 ,3541,14236
16314587 ,3536,130275
16349648 ,3534,25600
16408881 ,3530,127999
16426922 ,3528,11016
16558638 ,3520,43484
16642762 ,3514,26110
16671012 ,3513,54544
16682114 ,3512,67542
16688389 ,3512,134574
16694382 ,3511,9986
16796836 ,3506,17968
16808883 ,3506,1829
16963091 ,3497,3095
17164500 ,3487,17589
17202747 ,3485,2873
17262898 ,3482,20922
17446621 ,3474,2834888
17456691 ,3473,40664
17556536 ,3469,9400
17643749 ,3465,15954
17741640 ,3462,652
17760630 ,3461,48414
17888709 ,3456,129339
18083420 ,3449,100176
18107739 ,3447,5145
18172853 ,3445,16204
18185339 ,3444,199566
18194928 ,3444,87769
18227879 ,3443,2123
18291619 ,3440,64268
18315919 ,3439,5716
18334459 ,3438,15734
18337332 ,3438,1324
18439432 ,3432,7332
18546349 ,3428,2172
18621090 ,3425,12978
18637081 ,3425,5451
18813840 ,3421,43260
18825344 ,3420,55669
18884545 ,3418,10839
18914960 ,3418,4011
18959644 ,3416,116514
19073217 ,3414,7059
19166087 ,3411,2745
19198493 ,3411,29143
19346837 ,3408,4120
19477874 ,3405,9872
19494356 ,3405,5887
19542578 ,3404,4104
19557007 ,3404,11470
19727603 ,3401,1958
19731260 ,3401,972
19880131 ,3398,57739
20162512 ,3394,65064
20189222 ,3394,39115
20691578 ,3387,115304
20729667 ,3386,103129
20731540 ,3386,13617
20818801 ,3385,274421
20862590 ,3385,57446
20939549 ,3384,16189
21049677 ,3382,39950
21051388 ,3382,2339
21062734 ,3382,64289
21122923 ,3382,8653
21438041 ,3379,4648
21495530 ,3378,267902
21498971 ,3378,13647
21509421 ,3378,32942
21524871 ,3378,11137
21545575 ,3377,6438
21548838 ,3377,23650
21562957 ,3377,23228
21616423 ,3376,33982
21651444 ,3376,14723
21663432 ,3376,28800
21771686 ,3375,25672
22048925 ,3373,5821
22132565 ,3372,1854
22149904 ,3372,144769
22166017 ,3372,13211
22176617 ,3372,2271
22219572 ,3371,5288
22571886 ,3368,25438
22614415 ,3368,777
22635994 ,3368,91630
22718873 ,3367,52131
22837895 ,3367,6521
22866418 ,3366,10462
22868486 ,3366,5156
22873033 ,3366,101717
22924747 ,3366,73986
22929686 ,3366,94028
22954354 ,3366,895233
23114490 ,3365,23760
23149578 ,3364,44365
23170897 ,3364,3730
23237571 ,3364,61657
23318600 ,3363,44272
23330669 ,3363,15402
23345913 ,3363,84942
23456725 ,3362,67537
23531311 ,3361,21209
23594746 ,3361,1315
23720794 ,3360,9692
23983824 ,3359,13878
24081135 ,3358,39734
24165998 ,3358,2420
24310450 ,3357,51009
24311097 ,3357,49123
24471437 ,3356,77072
24529486 ,3356,6286
24594927 ,3356,4254
24687735 ,3355,45703
24702792 ,3355,37264
24776950 ,3355,24125
24882986 ,3354,94811
25016184 ,3353,7481
25025758 ,3353,29447
25066687 ,3353,38739
25067168 ,3353,285569
25077489 ,3353,31545
25080413 ,3353,4132
25135325 ,3353,18369
25149959 ,3353,90026
25312212 ,3352,31066
25542886 ,3351,1180
25564023 ,3351,24999
25605222 ,3350,20534
25717423 ,3350,16640
25817610 ,3349,76828
25877017 ,3349,416980
25945502 ,3348,8660
26218224 ,3347,12337
26477054 ,3346,3642
26575267 ,3346,59713
26585459 ,3346,15894
26630625 ,3345,16598
27059773 ,3344,5688
27109121 ,3344,57868
27442314 ,3342,16275
27463702 ,3342,53465
27464152 ,3342,81971
28038707 ,3339,12427
28071548 ,3339,16603
28104354 ,3339,197288
28450531 ,3337,78803
28523005 ,3337,51452
28652349 ,3337,4441
28670729 ,3336,22541
28721060 ,3336,36036
28775927 ,3336,43259
29017307 ,3335,10789
29144658 ,3334,22647
29400172 ,3333,88263
30171714 ,3330,4556
30265665 ,3330,119366
30317139 ,3330,204
30349866 ,3329,89708
30788083 ,3327,3833
30865805 ,3327,9232
30893656 ,3327,33844
31269363 ,3325,20578
31344369 ,3325,2217
31480713 ,3325,18418
31614824 ,3324,17681
31637700 ,3324,20059
31776520 ,3324,46534
32535236 ,3323,22269
32608996 ,3323,4529
32777872 ,3322,10607
33018977 ,3322,37893
33130137 ,3321,29385
33224637 ,3321,521
33410754 ,3320,469645
33519886 ,3320,5817
33533566 ,3320,17723
33787443 ,3319,2782
34072187 ,3318,40371
34345242 ,3318,4408
34353217 ,3318,3494
34383891 ,3318,77801
34423919 ,3317,3215
34462355 ,3317,58319
34828416 ,3316,1164
34831910 ,3316,97278
34920533 ,3316,18530
35395312 ,3314,20987
35599355 ,3313,126723
36076580 ,3312,3721
36145914 ,3312,64990
36147675 ,3312,6057
36633057 ,3310,4732
36715813 ,3310,25718
36827249 ,3309,1520
36884250 ,3309,81906
37094406 ,3308,13675
37194117 ,3308,3745
37263055 ,3308,73624
37312139 ,3307,3084
37373988 ,3307,1871
37636667 ,3306,46422
37988203 ,3305,2318
38196372 ,3304,796
38561218 ,3302,6087
39001347 ,3300,30180
39421414 ,3298,2776
39469211 ,3298,579
39614241 ,3297,3977
40056818 ,3296,5491
40127487 ,3295,27463
40602923 ,3293,49585
40892836 ,3292,18931
40961343 ,3292,1441
42055453 ,3287,9648
42531784 ,3284,1583
42543528 ,3284,9360
42760278 ,3283,51001
42790254 ,3283,141664
42924745 ,3283,38591
42931112 ,3283,1848
43027334 ,3282,22924
43590098 ,3280,36468
44036930 ,3277,46665
44205647 ,3277,20486
44229815 ,3276,3453
44393435 ,3276,11086
44830932 ,3274,401
45047640 ,3273,12329
45079860 ,3273,46645
45233046 ,3272,85911
45733309 ,3270,119264
45750563 ,3270,15054
45763040 ,3270,11828
45834623 ,3270,27276
46883538 ,3266,1434
46933704 ,3266,2235
47080783 ,3265,8847
47133990 ,3265,25898
47530655 ,3263,138
47546320 ,3263,67379
47577073 ,3263,15961
48153060 ,3261,5554
48166504 ,3261,449
48493229 ,3261,3291
48737488 ,3260,4119
48754929 ,3260,173291
48792578 ,3260,397
49003168 ,3259,49036
49023843 ,3259,6079
49092671 ,3259,1943
49190798 ,3258,31027
49321702 ,3258,51473
49365169 ,3258,26012
49411533 ,3258,3475
49627141 ,3257,87
49699229 ,3257,9042
50047060 ,3256,33296
50444781 ,3255,14071
50446226 ,3255,156358
52197012 ,3250,75979
52418728 ,3249,4431
52459831 ,3249,6570
52605101 ,3248,1131
52973203 ,3247,8246
53407468 ,3246,49806
53620593 ,3245,26587
54034749 ,3243,2609
54731329 ,3241,59357
55126077 ,3240,2214
55476641 ,3239,7359
55919704 ,3238,1332
56076496 ,3237,6123
56110264 ,3237,28203
56857442 ,3234,6134
56903680 ,3234,45305
57249632 ,3233,150
57332764 ,3233,25900
57854434 ,3231,2763
58052610 ,3230,196832
58554951 ,3229,29143
60394265 ,3223,1316
60429759 ,3222,5403
60572033 ,3222,23115
61325310 ,3219,47999
61327216 ,3219,56396
61342999 ,3219,6699
61539521 ,3219,7075
62365000 ,3215,1370
63362801 ,3212,8699
63747308 ,3211,21742
64189266 ,3209,68269
64471796 ,3208,279
64566039 ,3207,4893
64806914 ,3207,1380
65951307 ,3203,113023
65967525 ,3203,23170
66468730 ,3201,13447
67778641 ,3196,24193
68569604 ,3193,26867
69171795 ,3191,5194
69196651 ,3191,12863
70499835 ,3187,86982
72289373 ,3180,3356
72529640 ,3179,1822
72677520 ,3179,37801
73621473 ,3175,167
73813227 ,3174,93329
74149816 ,3173,211917
74181810 ,3173,126158
74559989 ,3172,58271
74870032 ,3170,4219
75190347 ,3169,48860
77602579 ,3160,5091
77902948 ,3159,31798
78088005 ,3159,19180
78980641 ,3156,1898
79835407 ,3153,37767
80125289 ,3152,9860
80656118 ,3150,5435
81724227 ,3145,22319
82194382 ,3144,24553
82769612 ,3141,1562
83205874 ,3140,12313
83645988 ,3138,3940
84415067 ,3135,46270
85118568 ,3132,1802
85361683 ,3131,6750
85429734 ,3131,10971
86236295 ,3127,26750
86390172 ,3127,20096
87849193 ,3120,30441
87853240 ,3120,4250
92790349 ,3100,2392
92811055 ,3100,63268
93111391 ,3098,191821
93457352 ,3097,18626
97938478 ,3077,4946
100332944 ,3067,24389
101027684 ,3064,1433
102716828 ,3058,12513
103881190 ,3054,1422
104342536 ,3052,5488
105857751 ,3048,7984
106889639 ,3044,5922
108617838 ,3039,6964
108913230 ,3038,6388
109509376 ,3036,48758
110459289 ,3033,276180
110857907 ,3031,4872
111332093 ,3030,38826
111341458 ,3030,65754
113782431 ,3021,12240
114770420 ,3018,122940
115065615 ,3017,7230
115094250 ,3017,164361
115542166 ,3015,77971
115694587 ,3015,152045
115886108 ,3014,2086
116237528 ,3013,150492
116628885 ,3011,5235
116741858 ,3011,1088
116916044 ,3010,50859
119965416 ,3001,94748
119966660 ,3001,11456
121800343 ,2996,46028
121848279 ,2996,3056
122960146 ,2992,208058
123614006 ,2990,25643
123618703 ,2990,59405
125218969 ,2984,85413
127720374 ,2976,9164
127870924 ,2976,1327
128554081 ,2974,21009
129764541 ,2970,502
129949447 ,2969,148736
129954707 ,2969,23122
130128708 ,2969,69461
130525384 ,2968,46475
130636969 ,2968,93904
131031011 ,2966,3535
133249208 ,2960,9452
133677123 ,2959,25175
136587906 ,2951,211
136881432 ,2950,62821
137932942 ,2947,17801
138198794 ,2946,13528
138399998 ,2946,8812
139468645 ,2943,51513
140302637 ,2940,2271
141627342 ,2937,5940
142400695 ,2935,2241
143325651 ,2932,6146
145338063 ,2927,52537
145676421 ,2926,1142
146422118 ,2924,11243
146443604 ,2924,17223
147246461 ,2922,5033
150690843 ,2913,4150
152509831 ,2908,8193
154941779 ,2902,6116
155002401 ,2902,61
156848287 ,2896,19888
157602310 ,2894,8190
159089108 ,2890,5822
159254509 ,2889,69884
161121502 ,2884,88059
164346642 ,2876,89606
164732629 ,2875,8385
164758349 ,2875,92178
165521111 ,2873,3712
166949672 ,2869,1268
167550475 ,2868,21324
167802279 ,2867,4170
171204578 ,2858,4393
171754508 ,2856,15799
172583086 ,2854,34022
172957079 ,2853,1388
173050801 ,2853,10857
173688702 ,2851,737
175224146 ,2847,8576
176407708 ,2844,1603
177046597 ,2842,5546
178205270 ,2839,35408
179328433 ,2836,2919
179952711 ,2835,42308
181340211 ,2831,4277
182907865 ,2828,265
183693634 ,2826,1243
184207734 ,2824,2664
185189319 ,2822,5325
190170261 ,2809,52166
190937995 ,2807,4490
191471032 ,2806,5135
195738913 ,2795,216435
196212075 ,2794,9643
196280459 ,2794,32328
196573842 ,2793,2560
196791283 ,2792,856
199781645 ,2785,31928
199825746 ,2785,21528
199909145 ,2784,4654
200631271 ,2783,87415
200962617 ,2782,215
205547336 ,2771,2382
205877676 ,2771,98736
208673100 ,2765,19682
211029138 ,2759,40316
211240572 ,2759,6704
211399998 ,2758,60965
211771914 ,2757,2372
212336449 ,2756,7434
212416579 ,2755,48288
212735740 ,2755,8018
213064031 ,2754,25915
213901605 ,2751,51399
215178490 ,2748,8853
215415571 ,2748,429
218519409 ,2739,7581
218764348 ,2738,433
220561434 ,2733,15176
220874721 ,2732,14568
221121595 ,2732,108695
221654816 ,2730,15467
221943846 ,2729,31142
221958750 ,2729,11615
225117039 ,2721,15204
226406768 ,2717,632
227381114 ,2715,8717
228456649 ,2712,14398
230826920 ,2705,58814
231084608 ,2704,29569
232863368 ,2699,51240
233889759 ,2696,2323
234776222 ,2694,2333
235592742 ,2692,399
237042055 ,2688,34885
237511010 ,2687,9879
237935961 ,2686,2287
238497343 ,2685,4804
242921623 ,2675,104082
243209173 ,2674,4147
243836495 ,2673,7521
244117260 ,2672,7463
244417596 ,2671,85723
244542203 ,2671,506
244900398 ,2670,25960
245025428 ,2670,73658
245909504 ,2668,10505
246082925 ,2667,33710
246162336 ,2667,3539
246498739 ,2667,109254
246851478 ,2666,3739
246878743 ,2666,2374
248378447 ,2663,9556
248814554 ,2662,577
250792003 ,2658,86
250995391 ,2657,23455
251193442 ,2657,24526
251377843 ,2656,3974
251968824 ,2655,52281
253060699 ,2653,2502
253344694 ,2652,11684
253997764 ,2651,35248
254614486 ,2650,12675
255422572 ,2648,133
256148755 ,2647,17404
257123996 ,2645,56285
257156669 ,2645,1555
260036406 ,2638,9378
260728686 ,2637,13488
260805395 ,2637,39061
260979430 ,2636,25865
261726010 ,2635,20066
262475606 ,2633,2560
263164345 ,2632,14464
263354631 ,2632,51679
264861120 ,2629,86983
264891358 ,2629,6643
264934281 ,2629,33049
266706213 ,2626,8179
268380985 ,2623,2839
268869271 ,2622,2565
269211359 ,2621,84197
269793965 ,2620,124052
270158646 ,2619,1791
270622633 ,2618,5239
271721700 ,2616,10619
274048823 ,2612,2676
277049262 ,2606,15789
277255735 ,2605,7732
277754474 ,2604,14337
277856441 ,2604,12178
278419563 ,2603,10729
280662664 ,2599,77101
280703283 ,2599,193
281314859 ,2597,105
282098746 ,2596,574742
284239036 ,2591,10939
287181735 ,2586,11249
291843919 ,2578,18110
294413590 ,2573,17367
295693396 ,2571,137
295790580 ,2571,13376
296080440 ,2570,35335
299148768 ,2565,10034
299466161 ,2564,5291
300445174 ,2563,4416
300501843 ,2563,85005
300642262 ,2562,34319
303565669 ,2557,2870
305135157 ,2555,52816
305590095 ,2554,22849
306055499 ,2553,69838
306208516 ,2553,137168
307462774 ,2551,3340
308004665 ,2550,20848
308285751 ,2549,5572
308674565 ,2549,159185
311281119 ,2544,15066
312384479 ,2542,14057
312921284 ,2542,34547
313390442 ,2541,738
314216205 ,2539,11558
315413807 ,2538,5300
316208642 ,2536,150648
316578266 ,2536,481994
318440306 ,2533,2444
325203860 ,2521,16863
326184124 ,2520,15043
330319375 ,2513,17289
330357834 ,2513,31972
330683027 ,2512,4537
330715293 ,2512,9660
331143907 ,2512,24217
331828541 ,2511,35065
339352638 ,2498,137705
340786611 ,2496,6252
341191499 ,2495,52064
341708717 ,2495,4125
343546234 ,2492,148738
344154685 ,2491,34535
344764478 ,2490,8769
345121911 ,2489,13619
345385271 ,2489,72819
346402393 ,2487,20882
348597625 ,2484,142857
348864589 ,2483,298
349779229 ,2482,16836
350968505 ,2480,2666
353849714 ,2476,46180
355370633 ,2473,9376
356859394 ,2471,33689
357321906 ,2470,1526
358262744 ,2469,21788
358279270 ,2469,41436
360130771 ,2466,11841
360295192 ,2465,1995
361365042 ,2464,8086
361626502 ,2463,23666
361845329 ,2463,14071
363333018 ,2460,14207
363713851 ,2460,13062
364528766 ,2458,438671
364633342 ,2458,3980
365100852 ,2458,16548
365168112 ,2457,522
366033559 ,2456,3920
366209259 ,2456,4397
366830788 ,2454,43655
367750490 ,2453,63532
368048293 ,2452,6744
368206573 ,2452,2954
369602944 ,2450,135251
370487237 ,2448,20472
371529677 ,2446,6372
373613355 ,2442,27527
375434404 ,2439,91273
377071661 ,2436,23890
379517721 ,2432,8833
388938945 ,2416,8864
389740116 ,2414,9561
391544447 ,2412,40187
393460878 ,2409,504
393701691 ,2408,22945
397410494 ,2403,3251
399142235 ,2400,27048
403511982 ,2394,5416
405329554 ,2391,8
411710558 ,2383,10902
414194957 ,2380,4920
414221776 ,2380,31635
414794763 ,2379,102212
415399800 ,2378,4577
422848459 ,2369,3003
422877737 ,2369,457
423420622 ,2368,8570
428152773 ,2362,14958
428917289 ,2361,114101
431845494 ,2358,236
432002514 ,2358,1065
432225789 ,2357,10495
433015972 ,2356,35676
434542923 ,2354,582
436229682 ,2352,395
442476408 ,2345,18096
444662650 ,2343,2325
449194238 ,2338,17430
453092010 ,2333,46417
453472446 ,2332,28305
454114632 ,2332,18398
455972590 ,2330,50961
458849957 ,2326,36579
459876432 ,2325,59642
460617733 ,2324,1238
462910662 ,2322,27428
467016100 ,2317,15886
468477322 ,2316,18606
472290457 ,2312,29650
473598677 ,2310,7361
476319854 ,2307,19545
478129767 ,2305,54756
479183126 ,2304,125543
481308204 ,2302,6159
482230775 ,2301,1536
487269195 ,2295,42237
488245997 ,2294,12579
488743449 ,2294,37978
495602226 ,2286,405371
500589735 ,2281,86608
506374922 ,2277,7070
506462325 ,2277,18769
507234347 ,2276,16659
507877806 ,2276,114763
508170925 ,2275,16327
509080701 ,2275,34772
512465595 ,2273,22351
512608908 ,2272,48307
513420310 ,2272,3725
513724263 ,2271,195313
513876919 ,2271,30633
514689878 ,2271,3118
516186294 ,2269,2046
518896557 ,2267,98006
519375166 ,2266,10157
520858506 ,2264,39153
521527264 ,2264,49378
525798773 ,2260,40903
525850419 ,2259,59762
526379014 ,2259,9642
526601851 ,2259,104502
532773823 ,2253,3698
532807282 ,2253,28374
533169299 ,2253,2209
533469077 ,2253,15330
536734538 ,2249,21092
537792459 ,2248,103
538481859 ,2248,222123
539343306 ,2247,2257
539507024 ,2246,91608
540745898 ,2245,91091
541402714 ,2244,10521
547184768 ,2237,18143
548592303 ,2236,6217
552613958 ,2231,7309
554543406 ,2229,2388
556284957 ,2227,8438
557395428 ,2225,29148
558812434 ,2224,7638
558903596 ,2224,16185
561310591 ,2221,166600
561581748 ,2221,3121
561607211 ,2220,19384
563907151 ,2218,10797
564111558 ,2218,235900
564836634 ,2217,5101
565661380 ,2216,29354
566700073 ,2215,1703
566896561 ,2214,2911
567841401 ,2213,16462
568723014 ,2212,2072
570859259 ,2210,25130
572257085 ,2208,69296
572691692 ,2208,10326
573715595 ,2207,1515
574490430 ,2206,681
575003514 ,2205,1045
578452611 ,2202,3984
581043583 ,2199,10931
589390524 ,2190,14000
589527729 ,2190,1438
593513239 ,2185,169205
596071565 ,2182,12119
596722588 ,2182,1778
597873702 ,2180,38488
604883440 ,2172,3876
607974856 ,2169,5725
608209503 ,2169,16725
608701086 ,2168,11848
612576449 ,2164,34750
622030431 ,2154,1785
622268608 ,2154,13786
623092640 ,2153,1759
627865229 ,2147,9785
628818151 ,2146,11622
629359957 ,2146,63334
632159055 ,2143,6061
634617333 ,2140,2121
634735456 ,2140,1169
700571440 ,1693,1121
711259440 ,2131,3075
711477402 ,2130,112736
711848363 ,1683,103334
712625179 ,2130,36720
713830012 ,1682,55531
716357128 ,1681,12752
719152463 ,1679,36006
727472528 ,2122,99637
733360368 ,2120,34761
735403034 ,2119,130500
737300101 ,2118,23342
744194214 ,2114,9185
753301531 ,2110,1052
753934014 ,2109,562
755394307 ,2109,1521
759622668 ,2107,4306
764477233 ,2105,10017
766727810 ,2103,3738
768961123 ,2102,110
778488883 ,2098,65178
788174490 ,2093,138844
791324106 ,2092,4753
793475743 ,2091,850
794150480 ,2091,12812
794870328 ,2090,1613
795040584 ,2090,25691
802058011 ,2087,49080
805835736 ,2085,15706
808014258 ,2084,71618
812697114 ,2082,30336
813094566 ,2082,37105
813360703 ,2082,12313
815740172 ,2081,15393
816695316 ,2080,9439
817972464 ,2080,5917
824452920 ,2076,25069
828051385 ,2074,16532
833616248 ,2072,11141
838261279 ,2070,8573
838636040 ,2069,113968
839843017 ,2069,6535
840292746 ,2069,8162
842074118 ,2068,16165
843819230 ,2067,3613
851743650 ,2063,5381
853882141 ,2061,6046
857644825 ,2059,136959
862037634 ,2057,12961
864579337 ,2055,22410
871116008 ,2051,117488
872560658 ,2051,9533
874934484 ,2049,15921
879060476 ,2047,61581
881206880 ,2046,750
883287067 ,2045,6738
892386096 ,2041,16000
893372400 ,2041,42331
896321540 ,2039,36686
898460438 ,2039,55015
898904244 ,2038,71989
898914379 ,2038,14604
900303948 ,2038,46383
902161639 ,2037,112
905533951 ,2035,185
906988423 ,2034,3108
911515682 ,2032,39126
911544698 ,2032,47624
913578817 ,2031,13488
919816316 ,2029,22954
924391309 ,2026,150512
930305280 ,2024,25625
930964766 ,2023,29306
932662676 ,2023,40651
933145092 ,2022,28565
944264634 ,2018,11359
954668976 ,2012,6414
956437284 ,2011,3314
959559552 ,2010,40281
976555530 ,2002,4677
983563670 ,1998,30333
985311739 ,1998,90855
1004244764 ,1989,4758
1006366477 ,1988,46790
1006535203 ,1988,6473
1015908282 ,1984,31682
1017619134 ,1983,2841
1033838696 ,1975,104152
1042685382 ,1972,9304
1052920855 ,1968,973
1056081252 ,1967,51246
1068804102 ,1962,2061
1071515880 ,1961,95659
1074785479 ,1960,2730
1075481690 ,1959,14532
1078347888 ,1958,61871
1097189011 ,1952,3960
1099573304 ,1951,110266
1102337286 ,1950,2448
1115440075 ,1946,14633
1117414250 ,1945,1314
1120959068 ,1943,8428
1138223996 ,1937,562
1146567146 ,1934,3228
1146794522 ,1934,3169
1158683395 ,1930,902
1160775618 ,1930,12436
1170521407 ,1926,302
1180076120 ,1924,33680
1184559348 ,1922,4258
1199052942 ,1918,54314
1199259601 ,1918,17793
1209248528 ,1916,6317
1210098278 ,1915,3121
1213660651 ,1915,57551
1243776289 ,1905,23845
1255050990 ,1901,10054
1257645007 ,1900,307169
1265788178 ,1896,16702
1276124900 ,1893,71153
1282083674 ,1890,1710
1287717751 ,1888,15079
1289848416 ,1888,12111
1293009337 ,1886,6569
1300914098 ,1885,85152
1301244769 ,1885,160306
1307546270 ,1883,10108
1327354904 ,1875,28007
1327636652 ,1875,4071
1331411209 ,1873,505
1347332816 ,1867,22754
1348456645 ,1866,21035
1351283654 ,1865,48457
1355871008 ,1863,5155
1367754870 ,1859,21129
1373192226 ,1856,34145
1375583112 ,1855,35725
1376776482 ,1855,1891
1378625954 ,1854,102127
1381019210 ,1853,394
1383905040 ,1852,167789
1389446737 ,1850,10603
1390752871 ,1849,22217
1395002228 ,1848,27182
1400931295 ,1845,191669
1407627919 ,1843,72546
1409323663 ,1842,6805
1410344198 ,1842,24684
1420172190 ,1838,26366
1428245454 ,1835,154609
1432040269 ,1833,1872
1439415763 ,1831,213
1442376572 ,1829,15785
1442769487 ,1829,3968
1443662814 ,1829,12476
1446885762 ,1828,2465
1447864836 ,1827,14945
1449545179 ,1827,11754
1466009443 ,1820,767115
1468492435 ,1819,7585
1473637028 ,1817,53986
1494518258 ,1809,53445
1499105642 ,1808,46404
1508094133 ,1806,16827
1513214906 ,1805,12977
1517119315 ,1804,12716
1531552668 ,1799,29669
1537722990 ,1796,7462
1544834904 ,1793,627
1548069955 ,1792,16067
1564194199 ,1786,1469
1564389721 ,1785,59736
1564967204 ,1785,10443
1565982361 ,1785,17765
1575783204 ,1781,4408
1598802739 ,1772,61685
1598812760 ,1772,239504
1605841508 ,1769,60
1606344284 ,1769,284711
1617895886 ,1764,1694
1620479270 ,1763,1366
1626305472 ,1761,38994
1636926403 ,1756,9285
1638963284 ,1755,12989
1640543952 ,1755,3639
1642448551 ,1754,10297
1648133851 ,1752,2765
1650177931 ,1751,52872
1650536515 ,1751,60278
1650585602 ,1751,18390
1652790840 ,1750,7149
1656048900 ,1749,27912
1665442230 ,1745,4370
1668150649 ,1744,43951
1674315427 ,1741,534430
1679637013 ,1739,34824
1680488258 ,1739,60996
1680695256 ,1739,5768
1692184268 ,1735,8642
1695321055 ,1733,2912
1697823336 ,1732,75589
1699495232 ,1732,48573
1705836090 ,1729,8961
1706150798 ,1729,7731
1729925778 ,1722,72711
1733026586 ,1721,8268
1855921670 ,1714,2189
1857320455 ,1714,66236
1859216455 ,1713,24756
1876171898 ,1709,40182
1877948160 ,1708,7773
1881519487 ,1707,14447
1887434546 ,1706,2440
1905903770 ,1700,139161
1908065586 ,1700,769
1909334089 ,1700,4416
1911751784 ,1699,11681
1919373924 ,1696,17286
1925743736 ,1694,25435
1926851863 ,1694,304
1938824527 ,1691,39477
1948035834 ,1687,63634
1949489786 ,1687,5512
1952510090 ,1686,200621
1952542010 ,1686,12029
1957156412 ,1684,16804
1957741021 ,1683,79822
1965425449 ,1680,8713
1967249774 ,1679,8497
2154632768 ,1671,175
2162552925 ,1664,4484
2169482500 ,1660,68890
2171619657 ,1658,94282
2191771077 ,1643,25037
2194368678 ,1651,162897
2194758303 ,1640,45753
2194953032 ,1651,3135
2196021830 ,1650,26519
2196868696 ,1639,97749
2197149780 ,1649,25904
2206071985 ,1644,3739
2210753587 ,1642,944
2210845220 ,1642,2441
2216662325 ,1625,28539
2217063241 ,1638,183715
2218351638 ,1638,94324
2220403094 ,1637,7108
2222497256 ,1635,42923
2222519540 ,1635,4344
2230622856 ,1630,540
2235407202 ,1627,857
2237915732 ,1626,95595
2244144583 ,1622,6216
2246427212 ,1620,42113
2246438870 ,1620,6745
2250377624 ,1618,18019
2258744876 ,1612,41454
2273723534 ,1601,3062
2277864330 ,1599,69159
2281589456 ,1596,4509
2312490275 ,1575,10698
2318991212 ,1574,47573
2319339266 ,1574,234122
2320925420 ,1573,41177
2323448533 ,1571,1304
2327418119 ,1567,5412
2330367498 ,1567,48483
2333912559 ,1564,11737
2339595207 ,1561,17479
2341589400 ,1560,29201
